,Date,Location,Tour,Track,Album
14338,"August 9, 1988 ","Cayuga Fairgrounds, Weedsport, NY, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14339,"August 9, 1988 ","Cayuga Fairgrounds, Weedsport, NY, USA",Appetite for Destruction,You're Crazy,Appetite for Destruction 
14340,"August 9, 1988 ","Cayuga Fairgrounds, Weedsport, NY, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14342,"August 9, 1988 ","Cayuga Fairgrounds, Weedsport, NY, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14343,"August 7, 1988 ","Orange County Fairgrounds, Middletown, NY, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14344,"August 7, 1988 ","Orange County Fairgrounds, Middletown, NY, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14347,"August 7, 1988 ","Orange County Fairgrounds, Middletown, NY, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14349,"August 7, 1988 ","Orange County Fairgrounds, Middletown, NY, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14350,"August 7, 1988 ","Orange County Fairgrounds, Middletown, NY, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14351,"August 6, 1988 ","Saratoga Performing Arts Center, Saratoga Springs, NY, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14352,"August 6, 1988 ","Saratoga Performing Arts Center, Saratoga Springs, NY, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14355,"August 6, 1988 ","Saratoga Performing Arts Center, Saratoga Springs, NY, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14357,"August 6, 1988 ","Saratoga Performing Arts Center, Saratoga Springs, NY, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14358,"August 6, 1988 ","Saratoga Performing Arts Center, Saratoga Springs, NY, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14360,"August 4, 1988 ","The Spectrum, Philadelphia, PA, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14361,"August 4, 1988 ","The Spectrum, Philadelphia, PA, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14362,"August 4, 1988 ","The Spectrum, Philadelphia, PA, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14365,"August 4, 1988 ","The Spectrum, Philadelphia, PA, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14366,"August 4, 1988 ","The Spectrum, Philadelphia, PA, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14368,[delete,"Market Square Arena, Indianapolis, IN, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14369,[delete,"Market Square Arena, Indianapolis, IN, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14370,[delete,"Market Square Arena, Indianapolis, IN, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14371,[delete,"Market Square Arena, Indianapolis, IN, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14373,[delete,"Market Square Arena, Indianapolis, IN, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14375,[delete,"Market Square Arena, Indianapolis, IN, USA",Appetite for Destruction,Paradise City,Appetite for Destruction 
14376,"August 1, 1988 ","Riverbend Music Center, Cincinnati, OH, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14377,"August 1, 1988 ","Riverbend Music Center, Cincinnati, OH, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14378,"August 1, 1988 ","Riverbend Music Center, Cincinnati, OH, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14380,"August 1, 1988 ","Riverbend Music Center, Cincinnati, OH, USA",Appetite for Destruction,You're Crazy,Appetite for Destruction 
14381,"August 1, 1988 ","Riverbend Music Center, Cincinnati, OH, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14382,"August 1, 1988 ","Riverbend Music Center, Cincinnati, OH, USA",Appetite for Destruction,Anything Goes,Appetite for Destruction 
14383,"August 1, 1988 ","Riverbend Music Center, Cincinnati, OH, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14384,"August 1, 1988 ","Riverbend Music Center, Cincinnati, OH, USA",Appetite for Destruction,Nightrain,Appetite for Destruction 
14385,"August 1, 1988 ","Riverbend Music Center, Cincinnati, OH, USA",Appetite for Destruction,Paradise City,Appetite for Destruction 
14386,[delete,"Val du Lakes Amphitheatre, Mears, MI, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14388,[delete,"Val du Lakes Amphitheatre, Mears, MI, USA",Appetite for Destruction,Paradise City,Appetite for Destruction 
14389,[delete,"Alpine Valley Music Theatre, East Troy, WI, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14390,[delete,"Alpine Valley Music Theatre, East Troy, WI, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14391,[delete,"Alpine Valley Music Theatre, East Troy, WI, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14392,[delete,"Alpine Valley Music Theatre, East Troy, WI, USA",Appetite for Destruction,Paradise City,Appetite for Destruction 
14394,[delete,"Alpine Valley Music Theatre, East Troy, WI, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14396,[delete,"Alpine Valley Music Theatre, East Troy, WI, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14397,"July 27, 1988 ","Hilton Coliseum, Ames, IA, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14398,"July 27, 1988 ","Hilton Coliseum, Ames, IA, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14399,"July 27, 1988 ","Hilton Coliseum, Ames, IA, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14401,"July 27, 1988 ","Hilton Coliseum, Ames, IA, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14402,"July 27, 1988 ","Hilton Coliseum, Ames, IA, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14403,"July 27, 1988 ","Hilton Coliseum, Ames, IA, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14409,"July 19, 1988 ","Richfield Coliseum, Richfield, OH, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14411,"July 19, 1988 ","Richfield Coliseum, Richfield, OH, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14412,"July 19, 1988 ","Richfield Coliseum, Richfield, OH, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14413,"July 19, 1988 ","Richfield Coliseum, Richfield, OH, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14415,"July 19, 1988 ","Richfield Coliseum, Richfield, OH, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14416,"July 19, 1988 ","Richfield Coliseum, Richfield, OH, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14417,"July 17, 1988 ","Poplar Creek Music Theater, Hoffman Estates, IL, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14418,"July 17, 1988 ","Poplar Creek Music Theater, Hoffman Estates, IL, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14419,"July 17, 1988 ","Poplar Creek Music Theater, Hoffman Estates, IL, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14420,"July 17, 1988 ","Poplar Creek Music Theater, Hoffman Estates, IL, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14421,"July 17, 1988 ","Poplar Creek Music Theater, Hoffman Estates, IL, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14422,"July 17, 1988 ","Poplar Creek Music Theater, Hoffman Estates, IL, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14424,"July 10, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14425,"July 10, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14429,"July 10, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14433,"July 10, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14434,"July 10, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Nightrain,Appetite for Destruction 
14435,"July 9, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14437,"July 9, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14438,"July 9, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14439,"July 9, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14441,"July 9, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,My Michelle,Appetite for Destruction 
14442,"July 9, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14443,"July 9, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14444,"July 9, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,You're Crazy,Appetite for Destruction 
14445,"July 9, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Nightrain,Appetite for Destruction 
14446,"July 9, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Paradise City,Appetite for Destruction 
14448,[delete,"Irvine Meadows, Irvine, CA, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14449,[delete,"Shoreline Amphitheatre, Mountain View, CA, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14451,[delete,"Shoreline Amphitheatre, Mountain View, CA, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14452,[delete,"Shoreline Amphitheatre, Mountain View, CA, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14454,[delete,"Shoreline Amphitheatre, Mountain View, CA, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14457,[delete,"Shoreline Amphitheatre, Mountain View, CA, USA",Appetite for Destruction,Nightrain,Appetite for Destruction 
14459,"June 1, 1988 ","Seattle Center Coliseum, Seattle, WA, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14460,"June 1, 1988 ","Seattle Center Coliseum, Seattle, WA, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14462,"June 1, 1988 ","Seattle Center Coliseum, Seattle, WA, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14463,"June 1, 1988 ","Seattle Center Coliseum, Seattle, WA, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14465,"June 1, 1988 ","Seattle Center Coliseum, Seattle, WA, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14466,"June 1, 1988 ","Seattle Center Coliseum, Seattle, WA, USA",Appetite for Destruction,Nightrain,Appetite for Destruction 
14467,"May 31, 1988 ","Spokane Coliseum, Spokane, WA, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14468,"May 31, 1988 ","Spokane Coliseum, Spokane, WA, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14469,"May 31, 1988 ","Spokane Coliseum, Spokane, WA, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14471,"May 31, 1988 ","Spokane Coliseum, Spokane, WA, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14473,"May 31, 1988 ","Spokane Coliseum, Spokane, WA, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14475,"May 31, 1988 ","Spokane Coliseum, Spokane, WA, USA",Appetite for Destruction,Paradise City,Appetite for Destruction 
14476,[delete,"Pacific Coliseum, Vancouver, BC, Canada",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14477,[delete,"Pacific Coliseum, Vancouver, BC, Canada",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14478,[delete,"Pacific Coliseum, Vancouver, BC, Canada",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14479,[delete,"Pacific Coliseum, Vancouver, BC, Canada",Appetite for Destruction,My Michelle,Appetite for Destruction 
14480,[delete,"Pacific Coliseum, Vancouver, BC, Canada",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14482,[delete,"Pacific Coliseum, Vancouver, BC, Canada",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14483,[delete,"Pacific Coliseum, Vancouver, BC, Canada",Appetite for Destruction,Paradise City,Appetite for Destruction 
14484,[delete,"Olympic Saddledome, Calgary, AB, Canada",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14485,[delete,"Olympic Saddledome, Calgary, AB, Canada",Appetite for Destruction,My Michelle,Appetite for Destruction 
14488,[delete,"Olympic Saddledome, Calgary, AB, Canada",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14489,[delete,"Olympic Saddledome, Calgary, AB, Canada",Appetite for Destruction,Paradise City,Appetite for Destruction 
14490,[delete,"Northlands Coliseum, Edmonton, AB, Canada",Appetite for Destruction,Paradise City,Appetite for Destruction 
14491,[delete,"Winnipeg Arena, Winnipeg, MB, Canada",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14492,[delete,"Winnipeg Arena, Winnipeg, MB, Canada",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14493,[delete,"Winnipeg Arena, Winnipeg, MB, Canada",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14495,[delete,"Winnipeg Arena, Winnipeg, MB, Canada",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14497,[delete,"Winnipeg Arena, Winnipeg, MB, Canada",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14499,[delete,"Winnipeg Arena, Winnipeg, MB, Canada",Appetite for Destruction,Paradise City,Appetite for Destruction 
14500,[delete,"CNE Grandstand, Toronto, ON, Canada",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14501,[delete,"CNE Grandstand, Toronto, ON, Canada",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14502,[delete,"CNE Grandstand, Toronto, ON, Canada",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14503,[delete,"CNE Grandstand, Toronto, ON, Canada",Appetite for Destruction,My Michelle,Appetite for Destruction 
14504,[delete,"CNE Grandstand, Toronto, ON, Canada",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14506,[delete,"CNE Grandstand, Toronto, ON, Canada",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14507,[delete,"Ottawa Civic Centre, Ottawa, ON, Canada",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14508,[delete,"Ottawa Civic Centre, Ottawa, ON, Canada",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14509,[delete,"Ottawa Civic Centre, Ottawa, ON, Canada",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14510,[delete,"Ottawa Civic Centre, Ottawa, ON, Canada",Appetite for Destruction,My Michelle,Appetite for Destruction 
14512,[delete,"Ottawa Civic Centre, Ottawa, ON, Canada",Appetite for Destruction,Nightrain,Appetite for Destruction 
14513,[delete,"Ottawa Civic Centre, Ottawa, ON, Canada",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14514,[delete,"Ottawa Civic Centre, Ottawa, ON, Canada",Appetite for Destruction,Paradise City,Appetite for Destruction 
14515,[delete,"Montreal Forum, Montreal, QC, Canada",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14516,[delete,"Montreal Forum, Montreal, QC, Canada",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14517,[delete,"Montreal Forum, Montreal, QC, Canada",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14519,[delete,"Montreal Forum, Montreal, QC, Canada",Appetite for Destruction,My Michelle,Appetite for Destruction 
14520,[delete,"Montreal Forum, Montreal, QC, Canada",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14521,[delete,"Montreal Forum, Montreal, QC, Canada",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14522,[delete,"Montreal Forum, Montreal, QC, Canada",Appetite for Destruction,Nightrain,Appetite for Destruction 
14524,"May 16, 1988 ","Colisée de Québec, Quebec City, QC, Canada",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14525,"May 16, 1988 ","Colisée de Québec, Quebec City, QC, Canada",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14526,"May 16, 1988 ","Colisée de Québec, Quebec City, QC, Canada",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14528,"May 16, 1988 ","Colisée de Québec, Quebec City, QC, Canada",Appetite for Destruction,My Michelle,Appetite for Destruction 
14529,"May 16, 1988 ","Colisée de Québec, Quebec City, QC, Canada",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14530,"May 16, 1988 ","Colisée de Québec, Quebec City, QC, Canada",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14531,"May 16, 1988 ","Colisée de Québec, Quebec City, QC, Canada",Appetite for Destruction,Nightrain,Appetite for Destruction 
14533,[delete,"Halifax Metro Centre, Halifax, NS, Canada",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14534,[delete,"Halifax Metro Centre, Halifax, NS, Canada",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14535,[delete,"Halifax Metro Centre, Halifax, NS, Canada",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14537,[delete,"Halifax Metro Centre, Halifax, NS, Canada",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14538,[delete,"Halifax Metro Centre, Halifax, NS, Canada",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14539,[delete,"Halifax Metro Centre, Halifax, NS, Canada",Appetite for Destruction,Paradise City,Appetite for Destruction 
14540,[delete,"Moncton Coliseum, Moncton, NB, Canada",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14541,[delete,"Moncton Coliseum, Moncton, NB, Canada",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14542,[delete,"Moncton Coliseum, Moncton, NB, Canada",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14543,[delete,"Moncton Coliseum, Moncton, NB, Canada",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14545,[delete,"Moncton Coliseum, Moncton, NB, Canada",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14546,"May 11, 1988 ","Orpheum Theatre, Boston, MA, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14548,"May 11, 1988 ","Orpheum Theatre, Boston, MA, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14549,"May 11, 1988 ","Orpheum Theatre, Boston, MA, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14551,"May 11, 1988 ","Orpheum Theatre, Boston, MA, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14552,"May 11, 1988 ","Orpheum Theatre, Boston, MA, USA",Appetite for Destruction,My Michelle,Appetite for Destruction 
14553,"May 11, 1988 ","Orpheum Theatre, Boston, MA, USA",Appetite for Destruction,You're Crazy,Appetite for Destruction 
14555,"May 11, 1988 ","Orpheum Theatre, Boston, MA, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14556,"May 11, 1988 ","Orpheum Theatre, Boston, MA, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14560,"May 11, 1988 ","Orpheum Theatre, Boston, MA, USA",Appetite for Destruction,Paradise City,Appetite for Destruction 
14561,"May 10, 1988 ","Tower Theatre, Upper Darby, PA, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14563,"May 10, 1988 ","Tower Theatre, Upper Darby, PA, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14564,"May 10, 1988 ","Tower Theatre, Upper Darby, PA, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14565,"May 10, 1988 ","Tower Theatre, Upper Darby, PA, USA",Appetite for Destruction,My Michelle,Appetite for Destruction 
14566,"May 10, 1988 ","Tower Theatre, Upper Darby, PA, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14568,"May 10, 1988 ","Tower Theatre, Upper Darby, PA, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14569,"May 10, 1988 ","Tower Theatre, Upper Darby, PA, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14570,"May 10, 1988 ","Tower Theatre, Upper Darby, PA, USA",Appetite for Destruction,You're Crazy,Appetite for Destruction 
14571,"May 10, 1988 ","Tower Theatre, Upper Darby, PA, USA",Appetite for Destruction,Nightrain,Appetite for Destruction 
14572,"May 10, 1988 ","Tower Theatre, Upper Darby, PA, USA",Appetite for Destruction,Paradise City,Appetite for Destruction 
14578,"May 9, 1988 ","Felt Forum, New York, NY, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14580,"May 9, 1988 ","Felt Forum, New York, NY, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14581,"May 9, 1988 ","Felt Forum, New York, NY, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14582,"May 9, 1988 ","Felt Forum, New York, NY, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14585,"May 9, 1988 ","Felt Forum, New York, NY, USA",Appetite for Destruction,My Michelle,Appetite for Destruction 
14586,"May 9, 1988 ","Felt Forum, New York, NY, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14587,"May 9, 1988 ","Felt Forum, New York, NY, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14590,"May 9, 1988 ","Felt Forum, New York, NY, USA",Appetite for Destruction,You're Crazy,Appetite for Destruction 
14591,"May 9, 1988 ","Felt Forum, New York, NY, USA",Appetite for Destruction,Nightrain,Appetite for Destruction 
14594,"May 9, 1988 ","Felt Forum, New York, NY, USA",Appetite for Destruction,Paradise City,Appetite for Destruction 
14595,"May 7, 1988 ","State Theatre, Detroit, MI, USA",Appetite for Destruction,Nightrain,Appetite for Destruction 
14596,"May 7, 1988 ","State Theatre, Detroit, MI, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14597,"May 7, 1988 ","State Theatre, Detroit, MI, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14598,"May 7, 1988 ","State Theatre, Detroit, MI, USA",Appetite for Destruction,Paradise City,Appetite for Destruction 
14599,"May 7, 1988 ","State Theatre, Detroit, MI, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14603,"May 1, 1988 ","Toledo Sports Arena, Toledo, OH, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14605,"May 1, 1988 ","Toledo Sports Arena, Toledo, OH, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14606,"May 1, 1988 ","Toledo Sports Arena, Toledo, OH, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14607,"May 1, 1988 ","Toledo Sports Arena, Toledo, OH, USA",Appetite for Destruction,You're Crazy,Appetite for Destruction 
14609,"May 1, 1988 ","Toledo Sports Arena, Toledo, OH, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14611,"May 1, 1988 ","Toledo Sports Arena, Toledo, OH, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14613,"May 1, 1988 ","Toledo Sports Arena, Toledo, OH, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14614,"May 1, 1988 ","Toledo Sports Arena, Toledo, OH, USA",Appetite for Destruction,Paradise City,Appetite for Destruction 
14615,"April 30, 1988 ","Danville Civic Center, Danville, IL, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14617,"April 30, 1988 ","Danville Civic Center, Danville, IL, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14618,"April 30, 1988 ","Danville Civic Center, Danville, IL, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14619,"April 30, 1988 ","Danville Civic Center, Danville, IL, USA",Appetite for Destruction,My Michelle,Appetite for Destruction 
14620,"April 30, 1988 ","Danville Civic Center, Danville, IL, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14622,"April 30, 1988 ","Danville Civic Center, Danville, IL, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14623,"April 30, 1988 ","Danville Civic Center, Danville, IL, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14624,"April 30, 1988 ","Danville Civic Center, Danville, IL, USA",Appetite for Destruction,Nightrain,Appetite for Destruction 
14625,"April 30, 1988 ","Danville Civic Center, Danville, IL, USA",Appetite for Destruction,You're Crazy,Appetite for Destruction 
14627,"April 30, 1988 ","Danville Civic Center, Danville, IL, USA",Appetite for Destruction,Paradise City,Appetite for Destruction 
14629,"April 29, 1988 ","Coronado Theatre, Rockford, IL, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14631,"April 29, 1988 ","Coronado Theatre, Rockford, IL, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14632,"April 29, 1988 ","Coronado Theatre, Rockford, IL, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14633,"April 29, 1988 ","Coronado Theatre, Rockford, IL, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14636,"April 29, 1988 ","Coronado Theatre, Rockford, IL, USA",Appetite for Destruction,My Michelle,Appetite for Destruction 
14637,"April 29, 1988 ","Coronado Theatre, Rockford, IL, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
14638,"April 29, 1988 ","Coronado Theatre, Rockford, IL, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14641,"April 29, 1988 ","Coronado Theatre, Rockford, IL, USA",Appetite for Destruction,You're Crazy,Appetite for Destruction 
14642,"April 29, 1988 ","Coronado Theatre, Rockford, IL, USA",Appetite for Destruction,Nightrain,Appetite for Destruction 
14645,"April 29, 1988 ","Coronado Theatre, Rockford, IL, USA",Appetite for Destruction,Paradise City,Appetite for Destruction 
14648,[delete,"The Late Show, Los Angeles, CA, USA",Appetite for Destruction,You're Crazy,Appetite for Destruction 
14650,"February 12, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,It's So Easy,Appetite for Destruction 
14651,"February 12, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Mr. Brownstone,Appetite for Destruction 
14653,"February 12, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Out Ta Get Me,Appetite for Destruction 
14654,"February 12, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Sweet Child O' Mine,Appetite for Destruction 
14655,"February 12, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,My Michelle,Appetite for Destruction 
14656,"February 12, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Rocket Queen,Appetite for Destruction 
14658,"February 12, 1988 ","Celebrity Theatre, Phoenix, AZ, USA",Appetite for Destruction,Welcome to the Jungle,Appetite for Destruction 
